date,device_id,client,issues,recommendation,severity,rationale,last7d_pages
2025-03-19,KROGER-1033,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,8 manual_bulk order(s) on spike day; no install yet.; 8 orders in last 14d without install.,4871
2025-03-19,LEX-1321,Lex & Co,[],green,green,No anomalies detected.,7327
2025-03-19,KROGER-1206,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,8 manual_bulk order(s) on spike day; no install yet.; 8 orders in last 14d without install.,4535
2025-03-19,KROGER-1192,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders', 'high_usage_7d']",hold,red,14 manual_bulk order(s) on spike day; no install yet.; 14 orders in last 14d without install.; High 7d volume (10357 pages).,10357
2025-03-19,KROGER-1088,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,10 manual_bulk order(s) on spike day; no install yet.; 10 orders in last 14d without install.,7152
2025-03-19,KROGER-1183,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,8 manual_bulk order(s) on spike day; no install yet.; 8 orders in last 14d without install.,6570
2025-03-19,KROGER-1226,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,13 manual_bulk order(s) on spike day; no install yet.; 14 orders in last 14d without install.,5378
2025-03-19,KROGER-1164,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,9 manual_bulk order(s) on spike day; no install yet.; 9 orders in last 14d without install.,5025
2025-03-19,KROGER-1227,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,11 manual_bulk order(s) on spike day; no install yet.; 11 orders in last 14d without install.,2914
2025-03-19,KROGER-1056,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,11 manual_bulk order(s) on spike day; no install yet.; 11 orders in last 14d without install.,3235
2025-03-19,KROGER-1133,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,16 manual_bulk order(s) on spike day; no install yet.; 16 orders in last 14d without install.,7462
2025-03-19,KROGER-1028,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,8 manual_bulk order(s) on spike day; no install yet.; 8 orders in last 14d without install.,5828
2025-03-19,KROGER-1130,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,8 manual_bulk order(s) on spike day; no install yet.; 8 orders in last 14d without install.,4621
2025-03-19,KROGER-1005,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,8 manual_bulk order(s) on spike day; no install yet.; 8 orders in last 14d without install.,6504
2025-03-19,KROGER-1279,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders', 'high_usage_7d']",hold,red,15 manual_bulk order(s) on spike day; no install yet.; 15 orders in last 14d without install.; High 7d volume (10217 pages).,10217
2025-03-19,KROGER-1004,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,7 manual_bulk order(s) on spike day; no install yet.; 7 orders in last 14d without install.,4729
2025-03-19,KROGER-1124,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,8 manual_bulk order(s) on spike day; no install yet.; 8 orders in last 14d without install.,6219
2025-03-19,KROGER-1173,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,11 manual_bulk order(s) on spike day; no install yet.; 11 orders in last 14d without install.,5903
2025-03-19,KROGER-1110,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,11 manual_bulk order(s) on spike day; no install yet.; 11 orders in last 14d without install.,3328
2025-03-19,KROGER-1263,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,13 manual_bulk order(s) on spike day; no install yet.; 13 orders in last 14d without install.,4728
2025-03-19,KROGER-1108,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders', 'high_usage_7d']",hold,red,7 manual_bulk order(s) on spike day; no install yet.; 7 orders in last 14d without install.; High 7d volume (14538 pages).,14538
2025-03-19,KROGER-1165,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders', 'high_usage_7d']",hold,red,20 manual_bulk order(s) on spike day; no install yet.; 20 orders in last 14d without install.; High 7d volume (10329 pages).,10329
2025-03-19,KROGER-1151,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,11 manual_bulk order(s) on spike day; no install yet.; 11 orders in last 14d without install.,1983
2025-03-19,KROGER-1134,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,11 manual_bulk order(s) on spike day; no install yet.; 11 orders in last 14d without install.,2651
2025-03-19,KROGER-1283,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,7 manual_bulk order(s) on spike day; no install yet.; 7 orders in last 14d without install.,3541
2025-03-19,KROGER-1297,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,9 manual_bulk order(s) on spike day; no install yet.; 9 orders in last 14d without install.,6406
2025-03-19,KROGER-1246,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,15 manual_bulk order(s) on spike day; no install yet.; 15 orders in last 14d without install.,6488
2025-03-19,KROGER-1049,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,15 manual_bulk order(s) on spike day; no install yet.; 15 orders in last 14d without install.,5248
2025-03-19,TAXIFY-1403,Taxify LLP,"['multiple_uninstalled_orders', 'high_usage_7d']",hold,red,3 orders in last 14d without install.; High 7d volume (11781 pages).,11781
2025-03-19,KROGER-1176,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders', 'high_usage_7d']",hold,red,7 manual_bulk order(s) on spike day; no install yet.; 7 orders in last 14d without install.; High 7d volume (10201 pages).,10201
2025-03-19,KROGER-1225,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,14 manual_bulk order(s) on spike day; no install yet.; 14 orders in last 14d without install.,6745
2025-03-19,KROGER-1163,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,11 manual_bulk order(s) on spike day; no install yet.; 11 orders in last 14d without install.,3199
2025-03-19,KROGER-1261,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,12 manual_bulk order(s) on spike day; no install yet.; 12 orders in last 14d without install.,5696
2025-03-19,KROGER-1264,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,9 manual_bulk order(s) on spike day; no install yet.; 9 orders in last 14d without install.,7010
2025-03-19,KROGER-1149,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,12 manual_bulk order(s) on spike day; no install yet.; 12 orders in last 14d without install.,2117
2025-03-19,KROGER-1238,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,10 manual_bulk order(s) on spike day; no install yet.; 10 orders in last 14d without install.,4904
2025-03-19,KROGER-1024,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,7 manual_bulk order(s) on spike day; no install yet.; 7 orders in last 14d without install.,6425
2025-03-19,KROGER-1058,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,11 manual_bulk order(s) on spike day; no install yet.; 11 orders in last 14d without install.,3637
2025-03-19,KROGER-1232,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,14 manual_bulk order(s) on spike day; no install yet.; 14 orders in last 14d without install.,6070
2025-03-19,KROGER-1075,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,10 manual_bulk order(s) on spike day; no install yet.; 10 orders in last 14d without install.,5579
2025-03-19,KROGER-1138,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,11 manual_bulk order(s) on spike day; no install yet.; 11 orders in last 14d without install.,1835
2025-03-19,KROGER-1009,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,6 manual_bulk order(s) on spike day; no install yet.; 6 orders in last 14d without install.,8045
2025-03-19,KROGER-1273,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,7 manual_bulk order(s) on spike day; no install yet.; 7 orders in last 14d without install.,2929
2025-03-19,KROGER-1107,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,8 manual_bulk order(s) on spike day; no install yet.; 8 orders in last 14d without install.,4265
2025-03-19,KROGER-1187,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,6 manual_bulk order(s) on spike day; no install yet.; 7 orders in last 14d without install.,5307
2025-03-19,KROGER-1259,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,9 manual_bulk order(s) on spike day; no install yet.; 9 orders in last 14d without install.,8428
2025-03-19,KROGER-1280,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,6 manual_bulk order(s) on spike day; no install yet.; 6 orders in last 14d without install.,5059
2025-03-19,KROGER-1111,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,7 manual_bulk order(s) on spike day; no install yet.; 7 orders in last 14d without install.,4661
2025-03-19,KROGER-1118,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,11 manual_bulk order(s) on spike day; no install yet.; 11 orders in last 14d without install.,4877
2025-03-19,KROGER-1184,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,12 manual_bulk order(s) on spike day; no install yet.; 12 orders in last 14d without install.,4220
2025-03-19,KROGER-1017,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,12 manual_bulk order(s) on spike day; no install yet.; 12 orders in last 14d without install.,7091
2025-03-19,KROGER-1221,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders', 'high_usage_7d']",hold,red,17 manual_bulk order(s) on spike day; no install yet.; 17 orders in last 14d without install.; High 7d volume (14750 pages).,14750
2025-03-19,KROGER-1258,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,11 manual_bulk order(s) on spike day; no install yet.; 11 orders in last 14d without install.,4156
2025-03-19,KROGER-1287,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,12 manual_bulk order(s) on spike day; no install yet.; 12 orders in last 14d without install.,2544
2025-03-19,KROGER-1157,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,12 manual_bulk order(s) on spike day; no install yet.; 12 orders in last 14d without install.,8707
2025-03-19,KROGER-1289,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,10 manual_bulk order(s) on spike day; no install yet.; 10 orders in last 14d without install.,5615
2025-03-19,KROGER-1272,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,16 manual_bulk order(s) on spike day; no install yet.; 16 orders in last 14d without install.,7336
2025-03-19,KROGER-1100,Kroger,"['oversupply_spike', 'multiple_uninstalled_orders']",hold,red,7 manual_bulk order(s) on spike day; no install yet.; 7 orders in last 14d without install.,2851
