device_id,alert_date,level_percent,alert_type
KROGER-1000,2025-04-10,19.7,TONER_LOW
KROGER-1001,2025-07-07,20.0,TONER_LOW
KROGER-1002,2025-08-27,19.9,TONER_LOW
KROGER-1003,2025-04-07,19.9,TONER_LOW
KROGER-1003,2025-04-08,19.6,TONER_LOW
KROGER-1006,2025-01-03,19.9,TONER_LOW
KROGER-1006,2025-01-04,19.2,TONER_LOW
KROGER-1006,2025-05-22,19.8,TONER_LOW
KROGER-1007,2025-03-14,19.8,TONER_LOW
KROGER-1009,2025-04-07,19.9,TONER_LOW
KROGER-1020,2025-01-13,19.6,TONER_LOW
KROGER-1020,2025-06-08,19.6,TONER_LOW
KROGER-1020,2025-06-09,19.1,TONER_LOW
KROGER-1022,2025-07-24,19.9,TONER_LOW
KROGER-1029,2025-08-04,19.8,TONER_LOW
KROGER-1031,2024-12-18,19.4,TONER_LOW
KROGER-1031,2025-04-15,19.7,TONER_LOW
KROGER-1031,2025-04-16,19.0,TONER_LOW
KROGER-1031,2025-08-14,19.9,TONER_LOW
KROGER-1034,2025-08-02,19.9,TONER_LOW
KROGER-1036,2025-06-30,19.8,TONER_LOW
KROGER-1039,2025-05-17,20.0,TONER_LOW
KROGER-1040,2025-08-14,20.0,TONER_LOW
KROGER-1043,2025-08-05,19.8,TONER_LOW
KROGER-1047,2025-02-13,19.9,TONER_LOW
KROGER-1047,2025-08-09,19.9,TONER_LOW
KROGER-1047,2025-08-10,19.4,TONER_LOW
KROGER-1050,2025-06-11,19.9,TONER_LOW
KROGER-1050,2025-06-12,19.7,TONER_LOW
KROGER-1054,2025-06-06,19.7,TONER_LOW
KROGER-1055,2025-07-16,20.0,TONER_LOW
KROGER-1059,2025-02-21,20.0,TONER_LOW
KROGER-1059,2025-08-26,19.7,TONER_LOW
KROGER-1059,2025-08-27,19.3,TONER_LOW
KROGER-1064,2025-04-11,20.0,TONER_LOW
KROGER-1064,2025-04-12,19.6,TONER_LOW
KROGER-1065,2025-05-17,19.9,TONER_LOW
KROGER-1067,2025-07-08,19.9,TONER_LOW
KROGER-1068,2025-04-28,19.9,TONER_LOW
KROGER-1068,2025-04-29,19.6,TONER_LOW
KROGER-1068,2025-04-30,19.3,TONER_LOW
KROGER-1070,2025-04-25,20.0,TONER_LOW
KROGER-1071,2025-04-28,19.9,TONER_LOW
KROGER-1072,2025-08-13,19.8,TONER_LOW
KROGER-1073,2025-04-27,19.9,TONER_LOW
KROGER-1075,2025-06-30,19.9,TONER_LOW
KROGER-1078,2025-07-23,19.8,TONER_LOW
KROGER-1082,2025-05-06,19.7,TONER_LOW
KROGER-1082,2025-05-07,19.5,TONER_LOW
KROGER-1086,2025-03-30,19.9,TONER_LOW
KROGER-1087,2025-06-15,20.0,TONER_LOW
KROGER-1089,2025-08-16,20.0,TONER_LOW
KROGER-1089,2025-08-17,19.7,TONER_LOW
KROGER-1089,2025-08-18,19.5,TONER_LOW
KROGER-1091,2025-03-25,19.9,TONER_LOW
KROGER-1093,2025-08-13,19.8,TONER_LOW
KROGER-1093,2025-08-14,19.6,TONER_LOW
KROGER-1093,2025-08-15,19.4,TONER_LOW
KROGER-1094,2025-08-22,19.9,TONER_LOW
KROGER-1097,2025-06-24,20.0,TONER_LOW
KROGER-1098,2025-06-15,19.8,TONER_LOW
KROGER-1098,2025-06-16,19.5,TONER_LOW
KROGER-1104,2025-07-13,19.9,TONER_LOW
KROGER-1106,2025-03-24,19.7,TONER_LOW
KROGER-1106,2025-03-25,19.3,TONER_LOW
KROGER-1107,2025-05-23,19.7,TONER_LOW
KROGER-1109,2025-08-19,19.8,TONER_LOW
KROGER-1111,2025-08-15,19.8,TONER_LOW
KROGER-1111,2025-08-16,19.6,TONER_LOW
KROGER-1112,2025-06-08,19.9,TONER_LOW
KROGER-1113,2025-02-01,19.9,TONER_LOW
KROGER-1113,2025-07-18,19.6,TONER_LOW
KROGER-1115,2025-05-05,19.9,TONER_LOW
KROGER-1118,2025-05-19,19.8,TONER_LOW
KROGER-1119,2025-08-14,19.8,TONER_LOW
LEX-1120,2025-05-01,19.9,TONER_LOW
LEX-1121,2025-08-28,19.9,TONER_LOW
LEX-1122,2025-03-19,20.0,TONER_LOW
LEX-1124,2025-02-18,19.8,TONER_LOW
LEX-1124,2025-08-08,20.0,TONER_LOW
LEX-1125,2024-11-13,19.3,TONER_LOW
LEX-1125,2024-11-14,18.2,TONER_LOW
LEX-1125,2025-01-27,19.4,TONER_LOW
LEX-1125,2025-04-13,19.6,TONER_LOW
LEX-1125,2025-06-27,19.3,TONER_LOW
LEX-1128,2025-07-25,19.8,TONER_LOW
LEX-1129,2025-06-19,19.8,TONER_LOW
LEX-1131,2025-03-31,19.9,TONER_LOW
LEX-1133,2025-03-25,19.4,TONER_LOW
LEX-1134,2025-08-29,19.9,TONER_LOW
LEX-1134,2025-08-30,19.8,TONER_LOW
LEX-1134,2025-08-31,19.7,TONER_LOW
LEX-1135,2025-02-21,19.8,TONER_LOW
LEX-1135,2025-08-15,19.9,TONER_LOW
LEX-1135,2025-08-16,19.7,TONER_LOW
LEX-1137,2025-07-06,20.0,TONER_LOW
LEX-1138,2025-04-24,20.0,TONER_LOW
LEX-1138,2025-04-25,19.7,TONER_LOW
LEX-1140,2025-04-21,19.8,TONER_LOW
LEX-1141,2025-03-11,19.8,TONER_LOW
LEX-1143,2025-08-21,19.9,TONER_LOW
LEX-1144,2025-04-20,19.9,TONER_LOW
LEX-1145,2025-05-29,19.9,TONER_LOW
LEX-1148,2025-02-25,19.6,TONER_LOW
LEX-1148,2025-08-23,19.9,TONER_LOW
LEX-1149,2025-06-25,19.7,TONER_LOW
LEX-1150,2025-07-04,19.9,TONER_LOW
LEX-1150,2025-07-05,19.8,TONER_LOW
LEX-1151,2025-03-10,20.0,TONER_LOW
LEX-1153,2025-03-20,19.7,TONER_LOW
LEX-1154,2025-06-29,19.9,TONER_LOW
LEX-1156,2024-11-30,20.0,TONER_LOW
LEX-1156,2025-03-01,19.5,TONER_LOW
LEX-1156,2025-06-02,18.7,TONER_LOW
LEX-1156,2025-06-03,17.2,TONER_LOW
LEX-1157,2025-02-28,20.0,TONER_LOW
LEX-1157,2025-08-29,19.7,TONER_LOW
LEX-1157,2025-08-30,19.5,TONER_LOW
LEX-1157,2025-08-31,19.3,TONER_LOW
LEX-1159,2025-05-19,19.9,TONER_LOW
TAXIFY-1161,2025-03-01,19.7,TONER_LOW
TAXIFY-1161,2025-07-17,19.7,TONER_LOW
TAXIFY-1162,2025-04-07,19.6,TONER_LOW
TAXIFY-1164,2025-04-04,19.9,TONER_LOW
TAXIFY-1165,2025-08-01,20.0,TONER_LOW
TAXIFY-1165,2025-08-02,19.9,TONER_LOW
TAXIFY-1166,2025-03-12,19.0,TONER_LOW
TAXIFY-1167,2025-02-25,19.3,TONER_LOW
TAXIFY-1167,2025-06-26,19.7,TONER_LOW
TAXIFY-1172,2025-05-22,20.0,TONER_LOW
