device_id,alert_date,toner_color,level_percent,alert_type
KROGER-1000,2025-01-21,BK,20.0,TONER_LOW
KROGER-1000,2025-06-28,BK,19.9,TONER_LOW
KROGER-1001,2025-07-21,BK,19.9,TONER_LOW
KROGER-1002,2025-05-21,BK,19.9,TONER_LOW
KROGER-1003,2025-03-07,BK,19.6,TONER_LOW
KROGER-1004,2025-07-26,BK,19.9,TONER_LOW
KROGER-1004,2025-07-27,BK,19.7,TONER_LOW
KROGER-1005,2025-04-14,BK,19.9,TONER_LOW
KROGER-1006,2025-06-24,BK,19.9,TONER_LOW
KROGER-1006,2025-06-25,BK,19.6,TONER_LOW
KROGER-1008,2025-02-20,BK,19.6,TONER_LOW
KROGER-1008,2025-08-27,BK,19.9,TONER_LOW
KROGER-1009,2025-02-17,BK,19.9,TONER_LOW
KROGER-1009,2025-08-21,BK,19.7,TONER_LOW
KROGER-1009,2025-08-22,BK,19.2,TONER_LOW
KROGER-1009,2025-08-23,BK,18.8,TONER_LOW
KROGER-1009,2025-08-24,BK,18.3,TONER_LOW
KROGER-1009,2025-08-25,BK,17.9,TONER_LOW
KROGER-1009,2025-08-26,BK,17.4,TONER_LOW
KROGER-1009,2025-08-27,BK,17.0,TONER_LOW
KROGER-1010,2025-07-02,BK,19.9,TONER_LOW
KROGER-1011,2025-06-15,BK,19.9,TONER_LOW
KROGER-1011,2025-06-16,BK,19.7,TONER_LOW
KROGER-1011,2025-06-17,BK,19.4,TONER_LOW
KROGER-1011,2025-06-18,BK,19.2,TONER_LOW
KROGER-1012,2025-03-28,BK,19.9,TONER_LOW
KROGER-1012,2025-03-29,BK,19.6,TONER_LOW
KROGER-1013,2025-05-16,BK,20.0,TONER_LOW
KROGER-1014,2025-06-21,BK,19.9,TONER_LOW
KROGER-1016,2025-03-22,BK,19.8,TONER_LOW
KROGER-1017,2025-03-30,BK,19.9,TONER_LOW
KROGER-1018,2025-03-18,BK,19.8,TONER_LOW
KROGER-1020,2024-12-13,BK,19.9,TONER_LOW
KROGER-1020,2025-04-03,BK,19.7,TONER_LOW
KROGER-1020,2025-04-04,BK,19.1,TONER_LOW
KROGER-1020,2025-07-29,BK,19.6,TONER_LOW
KROGER-1021,2025-05-06,BK,19.8,TONER_LOW
KROGER-1022,2025-05-29,BK,20.0,TONER_LOW
KROGER-1023,2024-12-21,BK,20.0,TONER_LOW
KROGER-1023,2025-04-23,BK,19.5,TONER_LOW
KROGER-1023,2025-08-26,BK,19.6,TONER_LOW
KROGER-1023,2025-08-27,BK,18.9,TONER_LOW
KROGER-1023,2025-08-28,BK,18.3,TONER_LOW
KROGER-1023,2025-08-29,BK,17.8,TONER_LOW
KROGER-1024,2025-04-22,BK,19.8,TONER_LOW
KROGER-1026,2025-08-17,BK,19.9,TONER_LOW
KROGER-1028,2025-02-21,BK,19.7,TONER_LOW
KROGER-1028,2025-08-27,BK,20.0,TONER_LOW
KROGER-1029,2025-06-04,BK,20.0,TONER_LOW
KROGER-1031,2025-02-17,BK,19.7,TONER_LOW
KROGER-1031,2025-08-18,BK,20.0,TONER_LOW
KROGER-1033,2025-03-31,BK,20.0,TONER_LOW
KROGER-1035,2025-07-09,BK,19.9,TONER_LOW
KROGER-1037,2024-12-20,BK,19.5,TONER_LOW
KROGER-1037,2024-12-21,BK,18.7,TONER_LOW
KROGER-1037,2025-04-25,BK,19.7,TONER_LOW
KROGER-1037,2025-08-29,BK,19.8,TONER_LOW
KROGER-1037,2025-08-30,BK,19.1,TONER_LOW
KROGER-1037,2025-08-31,BK,18.4,TONER_LOW
KROGER-1038,2025-01-02,BK,19.8,TONER_LOW
KROGER-1038,2025-05-22,BK,19.8,TONER_LOW
KROGER-1039,2025-07-11,BK,19.8,TONER_LOW
KROGER-1040,2025-02-26,BK,19.7,TONER_LOW
KROGER-1041,2025-07-16,BK,19.8,TONER_LOW
KROGER-1042,2025-03-21,BK,19.8,TONER_LOW
KROGER-1046,2025-04-14,BK,20.0,TONER_LOW
KROGER-1047,2024-12-12,BK,19.7,TONER_LOW
KROGER-1047,2025-04-02,BK,19.7,TONER_LOW
KROGER-1047,2025-07-26,BK,20.0,TONER_LOW
KROGER-1048,2025-04-27,BK,19.7,TONER_LOW
KROGER-1049,2025-06-17,BK,19.8,TONER_LOW
KROGER-1050,2025-01-06,BK,19.9,TONER_LOW
KROGER-1050,2025-06-01,BK,19.5,TONER_LOW
KROGER-1051,2025-04-27,BK,20.0,TONER_LOW
KROGER-1052,2025-06-13,BK,19.8,TONER_LOW
KROGER-1053,2025-04-26,BK,19.9,TONER_LOW
KROGER-1054,2025-07-07,BK,20.0,TONER_LOW
KROGER-1055,2025-05-21,BK,19.9,TONER_LOW
KROGER-1057,2025-03-29,BK,19.7,TONER_LOW
KROGER-1057,2025-03-30,BK,19.3,TONER_LOW
KROGER-1058,2025-06-04,BK,20.0,TONER_LOW
KROGER-1058,2025-06-05,BK,19.7,TONER_LOW
KROGER-1058,2025-06-06,BK,19.5,TONER_LOW
KROGER-1059,2025-02-26,BK,19.9,TONER_LOW
KROGER-1060,2025-07-10,BK,19.9,TONER_LOW
KROGER-1060,2025-07-11,BK,19.6,TONER_LOW
KROGER-1060,2025-07-12,BK,19.4,TONER_LOW
KROGER-1062,2025-06-06,BK,19.8,TONER_LOW
KROGER-1063,2024-12-13,BK,19.2,TONER_LOW
KROGER-1063,2025-03-30,BK,19.6,TONER_LOW
KROGER-1063,2025-03-31,BK,19.0,TONER_LOW
KROGER-1063,2025-07-23,BK,19.5,TONER_LOW
KROGER-1064,2025-05-28,BK,20.0,TONER_LOW
KROGER-1068,2025-07-05,BK,19.8,TONER_LOW
KROGER-1070,2024-12-21,BK,19.4,TONER_LOW
KROGER-1070,2024-12-22,BK,18.4,TONER_LOW
KROGER-1070,2025-04-24,BK,19.5,TONER_LOW
KROGER-1070,2025-04-25,BK,18.8,TONER_LOW
KROGER-1070,2025-08-27,BK,19.3,TONER_LOW
KROGER-1070,2025-08-28,BK,18.7,TONER_LOW
KROGER-1070,2025-08-29,BK,18.0,TONER_LOW
KROGER-1070,2025-08-30,BK,17.4,TONER_LOW
KROGER-1070,2025-08-31,BK,16.8,TONER_LOW
KROGER-1071,2025-05-18,BK,19.9,TONER_LOW
KROGER-1072,2025-06-11,BK,19.8,TONER_LOW
KROGER-1073,2025-01-11,BK,19.7,TONER_LOW
KROGER-1073,2025-06-09,BK,19.6,TONER_LOW
KROGER-1074,2024-12-20,BK,19.6,TONER_LOW
KROGER-1074,2025-04-19,BK,19.8,TONER_LOW
KROGER-1074,2025-08-22,BK,19.8,TONER_LOW
KROGER-1075,2025-05-10,BK,19.7,TONER_LOW
KROGER-1076,2025-05-17,BK,19.7,TONER_LOW
KROGER-1076,2025-05-18,BK,19.4,TONER_LOW
KROGER-1077,2025-03-07,BK,19.9,TONER_LOW
KROGER-1078,2025-07-18,BK,19.8,TONER_LOW
KROGER-1078,2025-07-19,BK,19.6,TONER_LOW
KROGER-1080,2025-04-13,BK,19.7,TONER_LOW
KROGER-1080,2025-04-14,BK,19.4,TONER_LOW
KROGER-1081,2025-01-23,BK,20.0,TONER_LOW
KROGER-1081,2025-01-24,BK,19.5,TONER_LOW
KROGER-1081,2025-07-07,BK,19.6,TONER_LOW
KROGER-1082,2025-04-07,BK,19.9,TONER_LOW
KROGER-1084,2025-06-17,BK,20.0,TONER_LOW
KROGER-1084,2025-06-18,BK,19.7,TONER_LOW
KROGER-1085,2025-06-27,BK,20.0,TONER_LOW
KROGER-1086,2025-07-04,BK,19.9,TONER_LOW
KROGER-1087,2024-12-29,BK,19.8,TONER_LOW
KROGER-1087,2025-05-15,BK,19.7,TONER_LOW
KROGER-1088,2025-01-17,BK,19.8,TONER_LOW
KROGER-1088,2025-06-21,BK,19.7,TONER_LOW
KROGER-1088,2025-06-22,BK,19.1,TONER_LOW
KROGER-1089,2025-04-12,BK,19.7,TONER_LOW
KROGER-1089,2025-04-13,BK,19.4,TONER_LOW
KROGER-1090,2025-03-29,BK,19.8,TONER_LOW
KROGER-1091,2025-03-19,BK,20.0,TONER_LOW
KROGER-1092,2025-05-25,BK,20.0,TONER_LOW
KROGER-1093,2025-06-05,BK,19.9,TONER_LOW
KROGER-1095,2025-04-19,BK,20.0,TONER_LOW
KROGER-1095,2025-04-20,BK,19.6,TONER_LOW
KROGER-1095,2025-04-21,BK,19.3,TONER_LOW
KROGER-1095,2025-04-22,BK,19.0,TONER_LOW
KROGER-1096,2024-12-13,BK,19.3,TONER_LOW
KROGER-1096,2024-12-14,BK,18.2,TONER_LOW
KROGER-1096,2024-12-15,BK,17.3,TONER_LOW
KROGER-1096,2025-04-05,BK,19.9,TONER_LOW
KROGER-1096,2025-07-30,BK,19.4,TONER_LOW
KROGER-1097,2025-02-20,BK,19.9,TONER_LOW
KROGER-1097,2025-08-31,BK,19.7,TONER_LOW
KROGER-1098,2025-07-10,BK,19.8,TONER_LOW
KROGER-1099,2025-08-25,BK,19.9,TONER_LOW
KROGER-1101,2025-04-12,BK,20.0,TONER_LOW
KROGER-1102,2025-05-09,BK,19.8,TONER_LOW
KROGER-1104,2025-04-28,BK,19.9,TONER_LOW
KROGER-1104,2025-04-29,BK,19.5,TONER_LOW
KROGER-1105,2025-08-12,BK,20.0,TONER_LOW
KROGER-1106,2025-01-22,BK,19.7,TONER_LOW
KROGER-1106,2025-06-29,BK,19.9,TONER_LOW
KROGER-1107,2025-05-07,BK,20.0,TONER_LOW
KROGER-1108,2024-12-09,BK,19.7,TONER_LOW
KROGER-1108,2024-12-10,BK,18.9,TONER_LOW
KROGER-1108,2025-03-28,BK,19.8,TONER_LOW
KROGER-1108,2025-07-16,BK,20.0,TONER_LOW
KROGER-1109,2025-07-21,BK,19.9,TONER_LOW
KROGER-1110,2025-06-29,BK,19.9,TONER_LOW
KROGER-1111,2025-04-24,BK,20.0,TONER_LOW
KROGER-1112,2025-02-15,BK,20.0,TONER_LOW
KROGER-1112,2025-08-20,BK,20.0,TONER_LOW
KROGER-1113,2025-02-20,BK,19.7,TONER_LOW
KROGER-1113,2025-02-21,BK,19.3,TONER_LOW
KROGER-1113,2025-08-29,BK,19.6,TONER_LOW
KROGER-1113,2025-08-30,BK,19.2,TONER_LOW
KROGER-1113,2025-08-31,BK,18.7,TONER_LOW
KROGER-1115,2025-05-05,BK,19.8,TONER_LOW
KROGER-1116,2025-06-19,BK,19.9,TONER_LOW
KROGER-1117,2025-08-19,BK,19.8,TONER_LOW
KROGER-1118,2025-07-07,BK,19.8,TONER_LOW
KROGER-1119,2025-01-04,BK,19.7,TONER_LOW
KROGER-1119,2025-05-25,BK,19.8,TONER_LOW
KROGER-1120,2025-07-19,BK,19.8,TONER_LOW
KROGER-1122,2025-04-15,BK,19.7,TONER_LOW
KROGER-1123,2025-05-10,BK,19.8,TONER_LOW
KROGER-1124,2025-04-23,BK,19.8,TONER_LOW
KROGER-1124,2025-04-24,BK,19.5,TONER_LOW
KROGER-1125,2025-03-03,BK,19.7,TONER_LOW
KROGER-1126,2025-03-31,BK,19.9,TONER_LOW
KROGER-1127,2025-04-11,BK,19.7,TONER_LOW
KROGER-1128,2025-02-16,BK,20.0,TONER_LOW
KROGER-1128,2025-08-17,BK,19.6,TONER_LOW
KROGER-1129,2025-04-20,BK,19.8,TONER_LOW
KROGER-1130,2025-07-01,BK,19.9,TONER_LOW
KROGER-1131,2025-07-13,BK,19.9,TONER_LOW
KROGER-1131,2025-07-14,BK,19.7,TONER_LOW
KROGER-1132,2025-08-12,BK,19.8,TONER_LOW
KROGER-1133,2025-03-23,BK,19.9,TONER_LOW
KROGER-1136,2025-05-17,BK,19.8,TONER_LOW
KROGER-1136,2025-05-18,BK,19.5,TONER_LOW
KROGER-1139,2025-03-10,BK,20.0,TONER_LOW
KROGER-1141,2025-02-24,BK,19.7,TONER_LOW
KROGER-1142,2025-06-21,BK,19.9,TONER_LOW
KROGER-1145,2025-06-16,BK,19.9,TONER_LOW
KROGER-1146,2025-07-28,BK,19.8,TONER_LOW
KROGER-1146,2025-07-29,BK,19.6,TONER_LOW
KROGER-1146,2025-07-30,BK,19.4,TONER_LOW
KROGER-1146,2025-07-31,BK,19.2,TONER_LOW
KROGER-1147,2025-08-01,BK,19.9,TONER_LOW
KROGER-1148,2025-05-19,BK,20.0,TONER_LOW
KROGER-1150,2025-05-25,BK,19.8,TONER_LOW
KROGER-1150,2025-05-26,BK,19.5,TONER_LOW
KROGER-1152,2025-07-20,BK,19.8,TONER_LOW
KROGER-1153,2025-04-09,BK,19.7,TONER_LOW
KROGER-1154,2025-03-03,BK,19.9,TONER_LOW
KROGER-1155,2024-12-25,BK,19.7,TONER_LOW
KROGER-1155,2024-12-26,BK,19.0,TONER_LOW
KROGER-1155,2024-12-27,BK,18.3,TONER_LOW
KROGER-1155,2024-12-28,BK,17.4,TONER_LOW
KROGER-1155,2024-12-29,BK,16.5,TONER_LOW
KROGER-1155,2025-05-09,BK,19.9,TONER_LOW
KROGER-1157,2025-02-02,BK,19.9,TONER_LOW
KROGER-1157,2025-07-25,BK,19.9,TONER_LOW
KROGER-1158,2025-01-28,BK,19.8,TONER_LOW
KROGER-1158,2025-07-12,BK,19.9,TONER_LOW
KROGER-1158,2025-07-13,BK,19.4,TONER_LOW
KROGER-1159,2025-02-15,BK,19.7,TONER_LOW
KROGER-1159,2025-08-17,BK,19.8,TONER_LOW
KROGER-1161,2025-04-08,BK,19.7,TONER_LOW
KROGER-1162,2025-01-11,BK,19.6,TONER_LOW
KROGER-1162,2025-06-08,BK,19.7,TONER_LOW
KROGER-1164,2025-04-06,BK,19.9,TONER_LOW
KROGER-1165,2025-01-09,BK,19.8,TONER_LOW
KROGER-1165,2025-06-06,BK,19.6,TONER_LOW
KROGER-1165,2025-06-07,BK,19.1,TONER_LOW
KROGER-1167,2025-04-19,BK,19.9,TONER_LOW
KROGER-1170,2025-08-01,BK,19.9,TONER_LOW
KROGER-1171,2025-05-04,BK,19.9,TONER_LOW
KROGER-1172,2025-07-07,BK,19.8,TONER_LOW
KROGER-1173,2025-02-24,BK,19.9,TONER_LOW
KROGER-1174,2025-08-19,BK,20.0,TONER_LOW
KROGER-1175,2025-07-13,BK,19.8,TONER_LOW
KROGER-1176,2025-01-18,BK,19.7,TONER_LOW
KROGER-1176,2025-06-24,BK,20.0,TONER_LOW
KROGER-1177,2025-04-20,BK,19.9,TONER_LOW
KROGER-1179,2025-03-22,BK,19.8,TONER_LOW
KROGER-1180,2025-08-28,BK,19.9,TONER_LOW
KROGER-1180,2025-08-29,BK,19.7,TONER_LOW
KROGER-1180,2025-08-30,BK,19.4,TONER_LOW
KROGER-1180,2025-08-31,BK,19.2,TONER_LOW
KROGER-1181,2025-04-16,BK,20.0,TONER_LOW
KROGER-1181,2025-04-17,BK,19.6,TONER_LOW
KROGER-1182,2025-05-19,BK,19.9,TONER_LOW
KROGER-1182,2025-05-20,BK,19.6,TONER_LOW
KROGER-1183,2025-02-06,BK,19.8,TONER_LOW
KROGER-1183,2025-07-30,BK,20.0,TONER_LOW
KROGER-1184,2025-05-15,BK,19.9,TONER_LOW
KROGER-1184,2025-05-16,BK,19.6,TONER_LOW
KROGER-1187,2025-03-15,BK,19.6,TONER_LOW
KROGER-1188,2025-06-23,BK,19.8,TONER_LOW
