order_id,device_id,client,order_date,toner_color,reason,oversupply_flag,ship_date,eta_date,delivered_date
O0000003,KROGER-1001,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000004,KROGER-1001,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000008,KROGER-1003,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-18,2025-03-21,2025-03-22
O0000009,KROGER-1004,Kroger,2025-07-26,BK,low_alert,False,2025-07-27,2025-07-29,2025-07-29
O0000011,KROGER-1005,Kroger,2025-03-18,M,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000012,KROGER-1005,Kroger,2025-03-18,M,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000013,KROGER-1005,Kroger,2025-03-18,C,manual_bulk,True,2025-03-20,2025-03-23,2025-03-23
O0000015,KROGER-1006,Kroger,2025-06-24,BK,low_alert,False,2025-06-24,2025-06-26,2025-06-26
O0000017,KROGER-1007,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000018,KROGER-1007,Kroger,2025-03-18,C,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000020,KROGER-1008,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-18,2025-03-20,2025-03-20
O0000023,KROGER-1009,Kroger,2025-08-21,BK,low_alert,False,2025-08-22,2025-08-25,2025-08-26
O0000024,KROGER-1009,Kroger,2025-08-22,BK,low_alert,False,2025-08-23,2025-08-25,2025-08-25
O0000025,KROGER-1009,Kroger,2025-08-23,BK,low_alert,False,2025-08-23,2025-08-25,2025-08-25
O0000026,KROGER-1009,Kroger,2025-08-24,BK,low_alert,False,2025-08-24,2025-08-27,2025-08-27
O0000027,KROGER-1009,Kroger,2025-08-25,BK,low_alert,False,2025-08-25,2025-08-27,2025-08-27
O0000028,KROGER-1009,Kroger,2025-08-26,BK,low_alert,False,2025-08-27,2025-08-31,2025-08-31
O0000030,KROGER-1010,Kroger,2025-03-18,Y,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000031,KROGER-1010,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-19,2025-03-22,2025-03-22
O0000033,KROGER-1011,Kroger,2025-06-15,BK,low_alert,False,2025-06-15,2025-06-18,2025-06-18
O0000034,KROGER-1011,Kroger,2025-06-16,BK,low_alert,False,2025-06-17,2025-06-20,2025-06-20
O0000035,KROGER-1011,Kroger,2025-06-17,BK,low_alert,False,2025-06-18,2025-06-23,2025-06-23
O0000037,KROGER-1012,Kroger,2025-03-28,BK,low_alert,False,2025-03-30,2025-04-01,2025-04-01
O0000039,KROGER-1013,Kroger,2025-03-18,BK,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
O0000040,KROGER-1013,Kroger,2025-03-18,M,manual_bulk,True,2025-03-20,2025-03-22,2025-03-22
