client,order_date,orders_count,rolling_90d_avg
Kroger,2025-01-11,3,1.4545454545454546
Kroger,2025-01-24,3,1.4375
Kroger,2025-02-06,3,1.4736842105263157
Kroger,2025-03-03,4,1.5892857142857142
Kroger,2025-03-18,1601,26.546875
Kroger,2025-08-01,5,2.1777777777777776
Kroger,2025-08-27,6,2.2777777777777777
Kroger,2025-08-29,8,2.3555555555555556
Kroger,2025-08-30,7,2.411111111111111
Kroger,2025-08-31,8,2.433333333333333
Lex & Co,2025-02-15,3,1.25
Lex & Co,2025-03-27,3,1.4
Lex & Co,2025-04-09,3,1.4102564102564104
Lex & Co,2025-04-10,3,1.45
Lex & Co,2025-08-01,3,1.3209876543209877
Taxify LLP,2025-03-03,4,1.25
Taxify LLP,2025-03-04,3,1.3529411764705883
Taxify LLP,2025-03-14,3,1.3846153846153846
Taxify LLP,2025-04-13,3,1.3333333333333333
Taxify LLP,2025-04-22,3,1.3333333333333333
Taxify LLP,2025-04-24,3,1.3673469387755102
