device_id,client,client_type,location,model,toner_model,toner_yield,is_ricoh,integrated_fastaf,base_daily_pages
KROGER-1000,Kroger,retail,Kroger Site 1,Ricoh IM C3000,RICOH-C3000-BK,12000,True,False,805.68
KROGER-1001,Kroger,retail,Kroger Site 2,Ricoh IM C3000,RICOH-C3000-BK,12000,True,False,586.51
KROGER-1002,Kroger,retail,Kroger Site 3,HP LaserJet M607,HP-37A-BK,11000,False,True,461.64
KROGER-1003,Kroger,retail,Kroger Site 4,Ricoh MP 501SPF,RICOH-501-BK,10000,True,False,684.5
KROGER-1004,Kroger,retail,Kroger Site 5,Ricoh MP 501SPF,RICOH-501-BK,10000,True,False,310.43
KROGER-1005,Kroger,retail,Kroger Site 6,Ricoh MP 501SPF,RICOH-501-BK,10000,True,False,310.43
KROGER-1006,Kroger,retail,Kroger Site 7,Ricoh IM C3000,RICOH-C3000-BK,12000,True,False,1384.27
KROGER-1007,Kroger,retail,Kroger Site 8,Ricoh IM C3000,RICOH-C3000-BK,12000,True,False,922.46
KROGER-1008,Kroger,retail,Kroger Site 9,Canon imageRUNNER 4551i,CANON-4551-BK,14000,False,True,497.0
KROGER-1009,Kroger,retail,Kroger Site 10,Ricoh IM C3000,RICOH-C3000-BK,12000,True,False,824.36
KROGER-1010,Kroger,retail,Kroger Site 11,Ricoh IM C3000,RICOH-C3000-BK,12000,True,False,498.51
KROGER-1011,Kroger,retail,Kroger Site 12,Ricoh IM C3000,RICOH-C3000-BK,12000,True,False,497.93
KROGER-1012,Kroger,retail,Kroger Site 13,Ricoh MP 501SPF,RICOH-501-BK,10000,True,False,384.6
KROGER-1013,Kroger,retail,Kroger Site 14,Ricoh MP 501SPF,RICOH-501-BK,10000,True,False,145.82
KROGER-1014,Kroger,retail,Kroger Site 15,Ricoh IM C3000,RICOH-C3000-BK,12000,True,False,265.3
KROGER-1015,Kroger,retail,Kroger Site 16,Ricoh MP 501SPF,RICOH-501-BK,10000,True,False,267.81
KROGER-1016,Kroger,retail,Kroger Site 17,Canon imageRUNNER 4551i,CANON-4551-BK,14000,False,True,378.76
KROGER-1017,Kroger,retail,Kroger Site 18,Ricoh MP 501SPF,RICOH-501-BK,10000,True,False,397.32
KROGER-1018,Kroger,retail,Kroger Site 19,Canon imageRUNNER 4551i,CANON-4551-BK,14000,False,True,399.14
KROGER-1019,Kroger,retail,Kroger Site 20,HP LaserJet M607,HP-37A-BK,11000,False,True,182.69
