device_id,client,client_type,location,model,is_color,toner_color,toner_model,toner_yield,is_ricoh,integrated_fastaf,base_daily_pages,color_fraction
KROGER-1000,Kroger,retail,Kroger Site 1,HP LaserJet M607,False,BK,HP-37A-BK,11000,False,True,1084.12,0.0
KROGER-1001,Kroger,retail,Kroger Site 2,Ricoh MP 501SPF,False,BK,RICOH-501-BK,10000,True,False,457.58,0.0
KROGER-1002,Kroger,retail,Kroger Site 3,Canon imageRUNNER 4551i,True,BK,CANON-4551-BK,14000,False,True,922.5,0.25
KROGER-1002,Kroger,retail,Kroger Site 3,Canon imageRUNNER 4551i,True,C,CANON-4551-C,10500,False,True,922.5,0.25
KROGER-1002,Kroger,retail,Kroger Site 3,Canon imageRUNNER 4551i,True,M,CANON-4551-M,10500,False,True,922.5,0.25
KROGER-1002,Kroger,retail,Kroger Site 3,Canon imageRUNNER 4551i,True,Y,CANON-4551-Y,10500,False,True,922.5,0.25
KROGER-1003,Kroger,retail,Kroger Site 4,Ricoh IM C3000,True,BK,RICOH-C3000-BK,12000,True,False,1091.93,0.25
KROGER-1003,Kroger,retail,Kroger Site 4,Ricoh IM C3000,True,C,RICOH-C3000-C,9000,True,False,1091.93,0.25
KROGER-1003,Kroger,retail,Kroger Site 4,Ricoh IM C3000,True,M,RICOH-C3000-M,9000,True,False,1091.93,0.25
KROGER-1003,Kroger,retail,Kroger Site 4,Ricoh IM C3000,True,Y,RICOH-C3000-Y,9000,True,False,1091.93,0.25
KROGER-1004,Kroger,retail,Kroger Site 5,Ricoh IM C3000,True,BK,RICOH-C3000-BK,12000,True,False,637.34,0.25
KROGER-1004,Kroger,retail,Kroger Site 5,Ricoh IM C3000,True,C,RICOH-C3000-C,9000,True,False,637.34,0.25
KROGER-1004,Kroger,retail,Kroger Site 5,Ricoh IM C3000,True,M,RICOH-C3000-M,9000,True,False,637.34,0.25
KROGER-1004,Kroger,retail,Kroger Site 5,Ricoh IM C3000,True,Y,RICOH-C3000-Y,9000,True,False,637.34,0.25
KROGER-1005,Kroger,retail,Kroger Site 6,Ricoh IM C3000,True,BK,RICOH-C3000-BK,12000,True,False,909.82,0.25
KROGER-1005,Kroger,retail,Kroger Site 6,Ricoh IM C3000,True,C,RICOH-C3000-C,9000,True,False,909.82,0.25
KROGER-1005,Kroger,retail,Kroger Site 6,Ricoh IM C3000,True,M,RICOH-C3000-M,9000,True,False,909.82,0.25
KROGER-1005,Kroger,retail,Kroger Site 6,Ricoh IM C3000,True,Y,RICOH-C3000-Y,9000,True,False,909.82,0.25
KROGER-1006,Kroger,retail,Kroger Site 7,HP LaserJet M607,False,BK,HP-37A-BK,11000,False,True,551.13,0.0
KROGER-1007,Kroger,retail,Kroger Site 8,Ricoh IM C3000,True,BK,RICOH-C3000-BK,12000,True,False,412.69,0.25
KROGER-1007,Kroger,retail,Kroger Site 8,Ricoh IM C3000,True,C,RICOH-C3000-C,9000,True,False,412.69,0.25
KROGER-1007,Kroger,retail,Kroger Site 8,Ricoh IM C3000,True,M,RICOH-C3000-M,9000,True,False,412.69,0.25
KROGER-1007,Kroger,retail,Kroger Site 8,Ricoh IM C3000,True,Y,RICOH-C3000-Y,9000,True,False,412.69,0.25
KROGER-1008,Kroger,retail,Kroger Site 9,Ricoh MP 501SPF,False,BK,RICOH-501-BK,10000,True,False,828.3,0.0
KROGER-1009,Kroger,retail,Kroger Site 10,Ricoh IM C3000,True,BK,RICOH-C3000-BK,12000,True,False,1190.99,0.25
KROGER-1009,Kroger,retail,Kroger Site 10,Ricoh IM C3000,True,C,RICOH-C3000-C,9000,True,False,1190.99,0.25
KROGER-1009,Kroger,retail,Kroger Site 10,Ricoh IM C3000,True,M,RICOH-C3000-M,9000,True,False,1190.99,0.25
KROGER-1009,Kroger,retail,Kroger Site 10,Ricoh IM C3000,True,Y,RICOH-C3000-Y,9000,True,False,1190.99,0.25
KROGER-1010,Kroger,retail,Kroger Site 11,Ricoh IM C3000,True,BK,RICOH-C3000-BK,12000,True,False,686.0,0.25
KROGER-1010,Kroger,retail,Kroger Site 11,Ricoh IM C3000,True,C,RICOH-C3000-C,9000,True,False,686.0,0.25
KROGER-1010,Kroger,retail,Kroger Site 11,Ricoh IM C3000,True,M,RICOH-C3000-M,9000,True,False,686.0,0.25
KROGER-1010,Kroger,retail,Kroger Site 11,Ricoh IM C3000,True,Y,RICOH-C3000-Y,9000,True,False,686.0,0.25
KROGER-1011,Kroger,retail,Kroger Site 12,Canon imageRUNNER 4551i,True,BK,CANON-4551-BK,14000,False,True,841.45,0.25
KROGER-1011,Kroger,retail,Kroger Site 12,Canon imageRUNNER 4551i,True,C,CANON-4551-C,10500,False,True,841.45,0.25
KROGER-1011,Kroger,retail,Kroger Site 12,Canon imageRUNNER 4551i,True,M,CANON-4551-M,10500,False,True,841.45,0.25
KROGER-1011,Kroger,retail,Kroger Site 12,Canon imageRUNNER 4551i,True,Y,CANON-4551-Y,10500,False,True,841.45,0.25
KROGER-1012,Kroger,retail,Kroger Site 13,Canon imageRUNNER 4551i,True,BK,CANON-4551-BK,14000,False,True,1141.05,0.25
KROGER-1012,Kroger,retail,Kroger Site 13,Canon imageRUNNER 4551i,True,C,CANON-4551-C,10500,False,True,1141.05,0.25
KROGER-1012,Kroger,retail,Kroger Site 13,Canon imageRUNNER 4551i,True,M,CANON-4551-M,10500,False,True,1141.05,0.25
KROGER-1012,Kroger,retail,Kroger Site 13,Canon imageRUNNER 4551i,True,Y,CANON-4551-Y,10500,False,True,1141.05,0.25
KROGER-1013,Kroger,retail,Kroger Site 14,Ricoh IM C3000,True,BK,RICOH-C3000-BK,12000,True,False,808.12,0.25
KROGER-1013,Kroger,retail,Kroger Site 14,Ricoh IM C3000,True,C,RICOH-C3000-C,9000,True,False,808.12,0.25
KROGER-1013,Kroger,retail,Kroger Site 14,Ricoh IM C3000,True,M,RICOH-C3000-M,9000,True,False,808.12,0.25
KROGER-1013,Kroger,retail,Kroger Site 14,Ricoh IM C3000,True,Y,RICOH-C3000-Y,9000,True,False,808.12,0.25
KROGER-1014,Kroger,retail,Kroger Site 15,Ricoh MP 501SPF,False,BK,RICOH-501-BK,10000,True,False,500.31,0.0
KROGER-1015,Kroger,retail,Kroger Site 16,Ricoh IM C3000,True,BK,RICOH-C3000-BK,12000,True,False,472.65,0.25
KROGER-1015,Kroger,retail,Kroger Site 16,Ricoh IM C3000,True,C,RICOH-C3000-C,9000,True,False,472.65,0.25
KROGER-1015,Kroger,retail,Kroger Site 16,Ricoh IM C3000,True,M,RICOH-C3000-M,9000,True,False,472.65,0.25
KROGER-1015,Kroger,retail,Kroger Site 16,Ricoh IM C3000,True,Y,RICOH-C3000-Y,9000,True,False,472.65,0.25
