device_id,date,pages_printed,cum_pages
KROGER-1000,2024-09-01,870,870
KROGER-1000,2024-09-02,841,1711
KROGER-1000,2024-09-03,875,2586
KROGER-1000,2024-09-04,873,3459
KROGER-1000,2024-09-05,716,4175
KROGER-1000,2024-09-06,745,4920
KROGER-1000,2024-09-07,880,5800
KROGER-1000,2024-09-08,880,6680
KROGER-1000,2024-09-09,838,7518
KROGER-1000,2024-09-10,1054,8572
KROGER-1000,2024-09-11,842,9414
KROGER-1000,2024-09-12,878,10292
KROGER-1000,2024-09-13,867,11159
KROGER-1000,2024-09-14,890,12049
KROGER-1000,2024-09-15,824,12873
KROGER-1000,2024-09-16,854,13727
KROGER-1000,2024-09-17,755,14482
KROGER-1000,2024-09-18,790,15272
KROGER-1000,2024-09-19,774,16046
KROGER-1000,2024-09-20,810,16856
KROGER-1000,2024-09-21,1002,17858
KROGER-1000,2024-09-22,719,18577
KROGER-1000,2024-09-23,849,19426
KROGER-1000,2024-09-24,701,20127
KROGER-1000,2024-09-25,775,20902
KROGER-1000,2024-09-26,875,21777
KROGER-1000,2024-09-27,809,22586
KROGER-1000,2024-09-28,773,23359
KROGER-1000,2024-09-29,797,24156
KROGER-1000,2024-09-30,849,25005
KROGER-1000,2024-10-01,758,25763
KROGER-1000,2024-10-02,819,26582
KROGER-1000,2024-10-03,808,27390
KROGER-1000,2024-10-04,763,28153
KROGER-1000,2024-10-05,991,29144
KROGER-1000,2024-10-06,888,30032
KROGER-1000,2024-10-07,675,30707
KROGER-1000,2024-10-08,817,31524
KROGER-1000,2024-10-09,763,32287
KROGER-1000,2024-10-10,860,33147
KROGER-1000,2024-10-11,754,33901
KROGER-1000,2024-10-12,838,34739
KROGER-1000,2024-10-13,880,35619
KROGER-1000,2024-10-14,861,36480
KROGER-1000,2024-10-15,728,37208
KROGER-1000,2024-10-16,784,37992
KROGER-1000,2024-10-17,775,38767
KROGER-1000,2024-10-18,763,39530
KROGER-1000,2024-10-19,965,40495
KROGER-1000,2024-10-20,873,41368
KROGER-1000,2024-10-21,724,42092
KROGER-1000,2024-10-22,864,42956
KROGER-1000,2024-10-23,942,43898
KROGER-1000,2024-10-24,872,44770
KROGER-1000,2024-10-25,707,45477
KROGER-1000,2024-10-26,813,46290
KROGER-1000,2024-10-27,931,47221
KROGER-1000,2024-10-28,760,47981
KROGER-1000,2024-10-29,834,48815
KROGER-1000,2024-10-30,855,49670
KROGER-1000,2024-10-31,745,50415
KROGER-1000,2024-11-01,962,51377
KROGER-1000,2024-11-02,751,52128
KROGER-1000,2024-11-03,931,53059
KROGER-1000,2024-11-04,947,54006
KROGER-1000,2024-11-05,870,54876
KROGER-1000,2024-11-06,1093,55969
KROGER-1000,2024-11-07,856,56825
KROGER-1000,2024-11-08,932,57757
KROGER-1000,2024-11-09,1025,58782
KROGER-1000,2024-11-10,1132,59914
KROGER-1000,2024-11-11,855,60769
KROGER-1000,2024-11-12,1056,61825
KROGER-1000,2024-11-13,967,62792
KROGER-1000,2024-11-14,890,63682
KROGER-1000,2024-11-15,1002,64684
KROGER-1000,2024-11-16,1031,65715
KROGER-1000,2024-11-17,966,66681
KROGER-1000,2024-11-18,972,67653
KROGER-1000,2024-11-19,937,68590
KROGER-1000,2024-11-20,975,69565
KROGER-1000,2024-11-21,1018,70583
KROGER-1000,2024-11-22,1089,71672
KROGER-1000,2024-11-23,914,72586
KROGER-1000,2024-11-24,1188,73774
KROGER-1000,2024-11-25,815,74589
KROGER-1000,2024-11-26,955,75544
KROGER-1000,2024-11-27,1012,76556
KROGER-1000,2024-11-28,988,77544
KROGER-1000,2024-11-29,918,78462
KROGER-1000,2024-11-30,998,79460
KROGER-1000,2024-12-01,975,80435
KROGER-1000,2024-12-02,921,81356
KROGER-1000,2024-12-03,1032,82388
KROGER-1000,2024-12-04,994,83382
KROGER-1000,2024-12-05,913,84295
KROGER-1000,2024-12-06,1036,85331
KROGER-1000,2024-12-07,1040,86371
KROGER-1000,2024-12-08,1081,87452
KROGER-1000,2024-12-09,1015,88467
KROGER-1000,2024-12-10,902,89369
KROGER-1000,2024-12-11,923,90292
KROGER-1000,2024-12-12,1024,91316
KROGER-1000,2024-12-13,1014,92330
KROGER-1000,2024-12-14,1013,93343
KROGER-1000,2024-12-15,1024,94367
KROGER-1000,2024-12-16,1065,95432
KROGER-1000,2024-12-17,921,96353
KROGER-1000,2024-12-18,1009,97362
KROGER-1000,2024-12-19,951,98313
KROGER-1000,2024-12-20,949,99262
KROGER-1000,2024-12-21,1104,100366
KROGER-1000,2024-12-22,1082,101448
KROGER-1000,2024-12-23,1029,102477
KROGER-1000,2024-12-24,1067,103544
KROGER-1000,2024-12-25,968,104512
KROGER-1000,2024-12-26,1019,105531
KROGER-1000,2024-12-27,942,106473
KROGER-1000,2024-12-28,1041,107514
KROGER-1000,2024-12-29,1004,108518
KROGER-1000,2024-12-30,974,109492
KROGER-1000,2024-12-31,1012,110504
KROGER-1000,2025-01-01,752,111256
KROGER-1000,2025-01-02,940,112196
KROGER-1000,2025-01-03,740,112936
KROGER-1000,2025-01-04,763,113699
KROGER-1000,2025-01-05,924,114623
KROGER-1000,2025-01-06,856,115479
KROGER-1000,2025-01-07,845,116324
KROGER-1000,2025-01-08,846,117170
KROGER-1000,2025-01-09,804,117974
KROGER-1000,2025-01-10,747,118721
KROGER-1000,2025-01-11,851,119572
KROGER-1000,2025-01-12,800,120372
KROGER-1000,2025-01-13,868,121240
KROGER-1000,2025-01-14,796,122036
KROGER-1000,2025-01-15,752,122788
KROGER-1000,2025-01-16,784,123572
KROGER-1000,2025-01-17,832,124404
KROGER-1000,2025-01-18,807,125211
KROGER-1000,2025-01-19,790,126001
KROGER-1000,2025-01-20,821,126822
KROGER-1000,2025-01-21,821,127643
KROGER-1000,2025-01-22,773,128416
KROGER-1000,2025-01-23,775,129191
KROGER-1000,2025-01-24,820,130011
KROGER-1000,2025-01-25,747,130758
KROGER-1000,2025-01-26,750,131508
KROGER-1000,2025-01-27,759,132267
KROGER-1000,2025-01-28,791,133058
KROGER-1000,2025-01-29,825,133883
KROGER-1000,2025-01-30,900,134783
KROGER-1000,2025-01-31,860,135643
KROGER-1000,2025-02-01,835,136478
KROGER-1000,2025-02-02,844,137322
KROGER-1000,2025-02-03,741,138063
KROGER-1000,2025-02-04,804,138867
KROGER-1000,2025-02-05,787,139654
KROGER-1000,2025-02-06,826,140480
KROGER-1000,2025-02-07,752,141232
KROGER-1000,2025-02-08,881,142113
KROGER-1000,2025-02-09,949,143062
KROGER-1000,2025-02-10,798,143860
KROGER-1000,2025-02-11,831,144691
KROGER-1000,2025-02-12,850,145541
KROGER-1000,2025-02-13,779,146320
KROGER-1000,2025-02-14,820,147140
KROGER-1000,2025-02-15,846,147986
KROGER-1000,2025-02-16,852,148838
KROGER-1000,2025-02-17,755,149593
KROGER-1000,2025-02-18,807,150400
KROGER-1000,2025-02-19,837,151237
KROGER-1000,2025-02-20,899,152136
KROGER-1000,2025-02-21,867,153003
KROGER-1000,2025-02-22,991,153994
KROGER-1000,2025-02-23,794,154788
KROGER-1000,2025-02-24,861,155649
KROGER-1000,2025-02-25,817,156466
KROGER-1000,2025-02-26,946,157412
KROGER-1000,2025-02-27,753,158165
KROGER-1000,2025-02-28,751,158916
KROGER-1000,2025-03-01,805,159721
KROGER-1000,2025-03-02,702,160423
KROGER-1000,2025-03-03,771,161194
KROGER-1000,2025-03-04,756,161950
KROGER-1000,2025-03-05,815,162765
KROGER-1000,2025-03-06,827,163592
KROGER-1000,2025-03-07,926,164518
KROGER-1000,2025-03-08,910,165428
KROGER-1000,2025-03-09,806,166234
KROGER-1000,2025-03-10,747,166981
KROGER-1000,2025-03-11,837,167818
KROGER-1000,2025-03-12,720,168538
KROGER-1000,2025-03-13,923,169461
KROGER-1000,2025-03-14,881,170342
KROGER-1000,2025-03-15,814,171156
KROGER-1000,2025-03-16,730,171886
KROGER-1000,2025-03-17,892,172778
KROGER-1000,2025-03-18,798,173576
KROGER-1000,2025-03-19,885,174461
KROGER-1000,2025-03-20,702,175163
KROGER-1000,2025-03-21,767,175930
KROGER-1000,2025-03-22,846,176776
KROGER-1000,2025-03-23,849,177625
KROGER-1000,2025-03-24,776,178401
KROGER-1000,2025-03-25,845,179246
KROGER-1000,2025-03-26,736,179982
KROGER-1000,2025-03-27,796,180778
KROGER-1000,2025-03-28,813,181591
KROGER-1000,2025-03-29,880,182471
KROGER-1000,2025-03-30,894,183365
KROGER-1000,2025-03-31,733,184098
KROGER-1000,2025-04-01,706,184804
KROGER-1000,2025-04-02,888,185692
KROGER-1000,2025-04-03,827,186519
KROGER-1000,2025-04-04,757,187276
KROGER-1000,2025-04-05,950,188226
KROGER-1000,2025-04-06,853,189079
KROGER-1000,2025-04-07,881,189960
