order_id,device_id,client,toner_model,order_date,quantity,reason,oversupply_flag
O000001,KROGER-1000,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000002,KROGER-1000,Kroger,RICOH-C3000-BK,2025-04-10,1,low_alert,False
O000003,KROGER-1001,Kroger,RICOH-C3000-BK,2025-07-07,1,low_alert,False
O000004,KROGER-1002,Kroger,HP-37A-BK,2025-08-27,1,low_alert,False
O000005,KROGER-1003,Kroger,RICOH-501-BK,2025-04-07,1,low_alert,False
O000006,KROGER-1003,Kroger,RICOH-501-BK,2025-04-08,1,low_alert,False
O000007,KROGER-1004,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000008,KROGER-1005,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000009,KROGER-1006,Kroger,RICOH-C3000-BK,2025-01-03,1,low_alert,False
O000010,KROGER-1006,Kroger,RICOH-C3000-BK,2025-01-04,1,low_alert,False
O000011,KROGER-1006,Kroger,RICOH-C3000-BK,2025-05-22,1,low_alert,False
O000012,KROGER-1007,Kroger,RICOH-C3000-BK,2025-03-14,1,low_alert,False
O000013,KROGER-1007,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000014,KROGER-1009,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000015,KROGER-1009,Kroger,RICOH-C3000-BK,2025-04-07,1,low_alert,False
O000016,KROGER-1011,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000017,KROGER-1012,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000018,KROGER-1013,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000019,KROGER-1014,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000020,KROGER-1017,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000021,KROGER-1020,Kroger,RICOH-C3000-BK,2025-01-13,1,low_alert,False
O000022,KROGER-1020,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000023,KROGER-1020,Kroger,RICOH-C3000-BK,2025-06-08,1,low_alert,False
O000024,KROGER-1020,Kroger,RICOH-C3000-BK,2025-06-09,1,low_alert,False
O000025,KROGER-1021,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000026,KROGER-1022,Kroger,CANON-4551-BK,2025-07-24,1,low_alert,False
O000027,KROGER-1025,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000028,KROGER-1028,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000029,KROGER-1029,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000030,KROGER-1029,Kroger,RICOH-C3000-BK,2025-08-04,1,low_alert,False
O000031,KROGER-1031,Kroger,RICOH-C3000-BK,2024-12-18,1,low_alert,False
O000032,KROGER-1031,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000033,KROGER-1031,Kroger,RICOH-C3000-BK,2025-04-15,1,low_alert,False
O000034,KROGER-1031,Kroger,RICOH-C3000-BK,2025-04-16,1,low_alert,False
O000035,KROGER-1031,Kroger,RICOH-C3000-BK,2025-08-14,1,low_alert,False
O000036,KROGER-1034,Kroger,HP-37A-BK,2025-08-02,1,low_alert,False
O000037,KROGER-1035,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000038,KROGER-1036,Kroger,CANON-4551-BK,2025-06-30,1,low_alert,False
O000039,KROGER-1037,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000040,KROGER-1039,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000041,KROGER-1039,Kroger,RICOH-C3000-BK,2025-05-17,1,low_alert,False
O000042,KROGER-1040,Kroger,HP-37A-BK,2025-08-14,1,low_alert,False
O000043,KROGER-1042,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000044,KROGER-1043,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000045,KROGER-1043,Kroger,RICOH-C3000-BK,2025-08-05,1,low_alert,False
O000046,KROGER-1044,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000047,KROGER-1045,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000048,KROGER-1047,Kroger,RICOH-C3000-BK,2025-02-13,1,low_alert,False
O000049,KROGER-1047,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000050,KROGER-1047,Kroger,RICOH-C3000-BK,2025-08-09,1,low_alert,False
O000051,KROGER-1047,Kroger,RICOH-C3000-BK,2025-08-10,1,low_alert,False
O000052,KROGER-1050,Kroger,CANON-4551-BK,2025-06-11,1,low_alert,False
O000053,KROGER-1050,Kroger,CANON-4551-BK,2025-06-12,1,low_alert,False
O000054,KROGER-1054,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000055,KROGER-1054,Kroger,RICOH-501-BK,2025-06-06,1,low_alert,False
O000056,KROGER-1055,Kroger,HP-37A-BK,2025-07-16,1,low_alert,False
O000057,KROGER-1059,Kroger,RICOH-C3000-BK,2025-02-21,1,low_alert,False
O000058,KROGER-1059,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000059,KROGER-1059,Kroger,RICOH-C3000-BK,2025-08-26,1,low_alert,False
O000060,KROGER-1059,Kroger,RICOH-C3000-BK,2025-08-27,1,low_alert,False
O000061,KROGER-1060,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000062,KROGER-1062,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000063,KROGER-1064,Kroger,CANON-4551-BK,2025-04-11,1,low_alert,False
O000064,KROGER-1064,Kroger,CANON-4551-BK,2025-04-12,1,low_alert,False
O000065,KROGER-1065,Kroger,HP-37A-BK,2025-05-17,1,low_alert,False
O000066,KROGER-1066,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000067,KROGER-1067,Kroger,HP-37A-BK,2025-07-08,1,low_alert,False
O000068,KROGER-1068,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000069,KROGER-1068,Kroger,RICOH-C3000-BK,2025-04-28,1,low_alert,False
O000070,KROGER-1068,Kroger,RICOH-C3000-BK,2025-04-29,1,low_alert,False
O000071,KROGER-1068,Kroger,RICOH-C3000-BK,2025-04-30,1,low_alert,False
O000072,KROGER-1069,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000073,KROGER-1070,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000074,KROGER-1070,Kroger,RICOH-C3000-BK,2025-04-25,1,low_alert,False
O000075,KROGER-1071,Kroger,HP-37A-BK,2025-04-28,1,low_alert,False
O000076,KROGER-1072,Kroger,CANON-4551-BK,2025-08-13,1,low_alert,False
O000077,KROGER-1073,Kroger,HP-37A-BK,2025-04-27,1,low_alert,False
O000078,KROGER-1074,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000079,KROGER-1075,Kroger,RICOH-501-BK,2025-06-30,1,low_alert,False
O000080,KROGER-1077,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000081,KROGER-1078,Kroger,CANON-4551-BK,2025-07-23,1,low_alert,False
O000082,KROGER-1081,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000083,KROGER-1082,Kroger,HP-37A-BK,2025-05-06,1,low_alert,False
O000084,KROGER-1082,Kroger,HP-37A-BK,2025-05-07,1,low_alert,False
O000085,KROGER-1083,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000086,KROGER-1084,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000087,KROGER-1086,Kroger,CANON-4551-BK,2025-03-30,1,low_alert,False
O000088,KROGER-1087,Kroger,CANON-4551-BK,2025-06-15,1,low_alert,False
O000089,KROGER-1089,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000090,KROGER-1089,Kroger,RICOH-501-BK,2025-08-16,1,low_alert,False
O000091,KROGER-1089,Kroger,RICOH-501-BK,2025-08-17,1,low_alert,False
O000092,KROGER-1089,Kroger,RICOH-501-BK,2025-08-18,1,low_alert,False
O000093,KROGER-1091,Kroger,CANON-4551-BK,2025-03-25,1,low_alert,False
O000094,KROGER-1093,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000095,KROGER-1093,Kroger,RICOH-C3000-BK,2025-08-13,1,low_alert,False
O000096,KROGER-1093,Kroger,RICOH-C3000-BK,2025-08-14,1,low_alert,False
O000097,KROGER-1093,Kroger,RICOH-C3000-BK,2025-08-15,1,low_alert,False
O000098,KROGER-1094,Kroger,RICOH-C3000-BK,2025-08-22,1,low_alert,False
O000099,KROGER-1097,Kroger,CANON-4551-BK,2025-06-24,1,low_alert,False
O000100,KROGER-1098,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000101,KROGER-1098,Kroger,RICOH-C3000-BK,2025-06-15,1,low_alert,False
O000102,KROGER-1098,Kroger,RICOH-C3000-BK,2025-06-16,1,low_alert,False
O000103,KROGER-1104,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000104,KROGER-1104,Kroger,RICOH-C3000-BK,2025-07-13,1,low_alert,False
O000105,KROGER-1106,Kroger,HP-37A-BK,2025-03-24,1,low_alert,False
O000106,KROGER-1106,Kroger,HP-37A-BK,2025-03-25,1,low_alert,False
O000107,KROGER-1107,Kroger,RICOH-C3000-BK,2025-05-23,1,low_alert,False
O000108,KROGER-1109,Kroger,CANON-4551-BK,2025-08-19,1,low_alert,False
O000109,KROGER-1111,Kroger,CANON-4551-BK,2025-08-15,1,low_alert,False
O000110,KROGER-1111,Kroger,CANON-4551-BK,2025-08-16,1,low_alert,False
O000111,KROGER-1112,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000112,KROGER-1112,Kroger,RICOH-C3000-BK,2025-06-08,1,low_alert,False
O000113,KROGER-1113,Kroger,HP-37A-BK,2025-02-01,1,low_alert,False
O000114,KROGER-1113,Kroger,HP-37A-BK,2025-07-18,1,low_alert,False
O000115,KROGER-1115,Kroger,RICOH-C3000-BK,2025-03-18,1,manual_bulk,True
O000116,KROGER-1115,Kroger,RICOH-C3000-BK,2025-05-05,1,low_alert,False
O000117,KROGER-1117,Kroger,RICOH-501-BK,2025-03-18,1,manual_bulk,True
O000118,KROGER-1118,Kroger,RICOH-501-BK,2025-05-19,1,low_alert,False
O000119,KROGER-1119,Kroger,HP-37A-BK,2025-08-14,1,low_alert,False
O000120,LEX-1120,Lex & Co,RICOH-501-BK,2025-05-01,1,low_alert,False
O000121,LEX-1121,Lex & Co,RICOH-C3000-BK,2025-08-28,1,low_alert,False
O000122,LEX-1122,Lex & Co,HP-37A-BK,2025-03-19,1,low_alert,False
O000123,LEX-1124,Lex & Co,RICOH-C3000-BK,2025-02-18,1,low_alert,False
O000124,LEX-1124,Lex & Co,RICOH-C3000-BK,2025-08-08,1,low_alert,False
O000125,LEX-1125,Lex & Co,RICOH-C3000-BK,2024-11-13,1,low_alert,False
O000126,LEX-1125,Lex & Co,RICOH-C3000-BK,2024-11-14,1,low_alert,False
O000127,LEX-1125,Lex & Co,RICOH-C3000-BK,2025-01-27,1,low_alert,False
O000128,LEX-1125,Lex & Co,RICOH-C3000-BK,2025-04-13,1,low_alert,False
