order_id,device_id,client,toner_model,toner_color,order_date,quantity,reason,oversupply_flag,shipment_id,ship_date,eta_date,delivered_date,location
O0000001,KROGER-1000,Kroger,HP-37A-BK,BK,2025-01-21,1,low_alert,False,S000055,2025-01-21,2025-01-23,2025-01-23,Kroger Site 1
O0000002,KROGER-1000,Kroger,HP-37A-BK,BK,2025-06-28,1,low_alert,False,S000861,2025-06-30,2025-07-02,2025-07-02,Kroger Site 1
O0000003,KROGER-1001,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000230,2025-03-20,2025-03-23,2025-03-23,Kroger Site 2
O0000004,KROGER-1001,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000230,2025-03-20,2025-03-23,2025-03-23,Kroger Site 2
O0000005,KROGER-1001,Kroger,RICOH-501-BK,BK,2025-07-21,1,low_alert,False,S000922,2025-07-22,2025-07-26,2025-07-26,Kroger Site 2
O0000006,KROGER-1002,Kroger,CANON-4551-BK,BK,2025-05-21,1,low_alert,False,S000752,2025-05-23,2025-05-26,2025-05-26,Kroger Site 3
O0000007,KROGER-1003,Kroger,RICOH-C3000-BK,BK,2025-03-07,1,low_alert,False,S000148,2025-03-07,2025-03-10,2025-03-10,Kroger Site 4
O0000008,KROGER-1003,Kroger,RICOH-C3000-Y,Y,2025-03-18,1,manual_bulk,True,S000361,2025-03-18,2025-03-21,2025-03-22,Kroger Site 4
O0000009,KROGER-1004,Kroger,RICOH-C3000-BK,BK,2025-07-26,1,low_alert,False,S000934,2025-07-27,2025-07-29,2025-07-29,Kroger Site 5
O0000010,KROGER-1004,Kroger,RICOH-C3000-BK,BK,2025-07-27,1,low_alert,False,S000935,2025-07-27,2025-07-29,2025-07-29,Kroger Site 5
O0000011,KROGER-1005,Kroger,RICOH-C3000-M,M,2025-03-18,1,manual_bulk,True,S000467,2025-03-20,2025-03-23,2025-03-23,Kroger Site 6
O0000012,KROGER-1005,Kroger,RICOH-C3000-M,M,2025-03-18,1,manual_bulk,True,S000467,2025-03-20,2025-03-23,2025-03-23,Kroger Site 6
O0000013,KROGER-1005,Kroger,RICOH-C3000-C,C,2025-03-18,1,manual_bulk,True,S000467,2025-03-20,2025-03-23,2025-03-23,Kroger Site 6
O0000014,KROGER-1005,Kroger,RICOH-C3000-BK,BK,2025-04-14,1,low_alert,False,S000657,2025-04-14,2025-04-16,2025-04-17,Kroger Site 6
O0000015,KROGER-1006,Kroger,HP-37A-BK,BK,2025-06-24,1,low_alert,False,S000850,2025-06-24,2025-06-26,2025-06-26,Kroger Site 7
O0000016,KROGER-1006,Kroger,HP-37A-BK,BK,2025-06-25,1,low_alert,False,S000852,2025-06-26,2025-06-28,2025-06-28,Kroger Site 7
O0000017,KROGER-1007,Kroger,RICOH-C3000-BK,BK,2025-03-18,1,manual_bulk,True,S000560,2025-03-19,2025-03-22,2025-03-22,Kroger Site 8
O0000018,KROGER-1007,Kroger,RICOH-C3000-C,C,2025-03-18,1,manual_bulk,True,S000560,2025-03-19,2025-03-22,2025-03-22,Kroger Site 8
O0000019,KROGER-1008,Kroger,RICOH-501-BK,BK,2025-02-20,1,low_alert,False,S000109,2025-02-22,2025-02-26,2025-02-26,Kroger Site 9
O0000020,KROGER-1008,Kroger,RICOH-501-BK,BK,2025-03-18,1,manual_bulk,True,S000569,2025-03-18,2025-03-20,2025-03-20,Kroger Site 9
O0000021,KROGER-1008,Kroger,RICOH-501-BK,BK,2025-08-27,1,low_alert,False,S001019,2025-08-27,2025-08-30,2025-08-30,Kroger Site 9
