shipment_id,client,location,ship_date,eta_date,delivered_date,orders_count,sla_days,days_in_transit,on_time,days_late
S000001,Lex & Co,Lex & Co Site 17,2024-11-07,2024-11-10,2024-11-10,1,3,3,True,0
S000002,Lex & Co,Lex & Co Site 52,2024-11-23,2024-11-25,2024-11-25,1,2,2,True,0
S000003,Lex & Co,Lex & Co Site 51,2024-11-25,2024-11-30,2024-11-30,1,5,5,True,0
S000004,Taxify LLP,Taxify LLP Site 63,2024-12-09,2024-12-13,2024-12-13,1,4,4,True,0
S000005,Kroger,Kroger Site 29,2024-12-10,2024-12-13,2024-12-14,1,3,4,False,1
S000006,Kroger,Kroger Site 29,2024-12-10,2024-12-12,2024-12-12,1,2,2,True,0
S000007,Kroger,Kroger Site 62,2024-12-11,2024-12-14,2024-12-14,1,3,3,True,0
S000008,Kroger,Kroger Site 48,2024-12-14,2024-12-18,2024-12-18,1,4,4,True,0
S000009,Kroger,Kroger Site 17,2024-12-13,2024-12-16,2024-12-16,1,3,3,True,0
S000010,Kroger,Kroger Site 21,2024-12-14,2024-12-17,2024-12-17,1,3,3,True,0
S000011,Kroger,Kroger Site 64,2024-12-14,2024-12-16,2024-12-18,1,2,4,False,2
S000012,Lex & Co,Lex & Co Site 74,2024-12-15,2024-12-18,2024-12-18,1,3,3,True,0
S000013,Kroger,Kroger Site 17,2024-12-15,2024-12-17,2024-12-17,1,2,2,True,0
S000014,Lex & Co,Lex & Co Site 74,2024-12-16,2024-12-18,2024-12-18,1,2,2,True,0
S000015,Kroger,Kroger Site 17,2024-12-15,2024-12-18,2024-12-18,1,3,3,True,0
S000016,Lex & Co,Lex & Co Site 49,2024-12-18,2024-12-20,2024-12-20,1,2,2,True,0
S000017,Lex & Co,Lex & Co Site 49,2024-12-19,2024-12-23,2024-12-23,1,4,4,True,0
S000018,Kroger,Kroger Site 38,2024-12-20,2024-12-22,2024-12-22,1,2,2,True,0
S000019,Kroger,Kroger Site 75,2024-12-21,2024-12-23,2024-12-23,1,2,2,True,0
S000020,Kroger,Kroger Site 24,2024-12-21,2024-12-23,2024-12-23,1,2,2,True,0
S000021,Kroger,Kroger Site 38,2024-12-21,2024-12-24,2024-12-24,1,3,3,True,0
S000022,Kroger,Kroger Site 71,2024-12-22,2024-12-26,2024-12-26,1,4,4,True,0
S000023,Kroger,Kroger Site 71,2024-12-22,2024-12-24,2024-12-24,1,2,2,True,0
S000024,Lex & Co,Lex & Co Site 41,2024-12-25,2024-12-27,2024-12-27,1,2,2,True,0
S000025,Lex & Co,Lex & Co Site 78,2024-12-23,2024-12-25,2024-12-25,1,2,2,True,0
S000026,Kroger,Kroger Site 32,2024-12-25,2024-12-27,2024-12-27,1,2,2,True,0
S000027,Kroger,Kroger Site 76,2024-12-26,2024-12-29,2024-12-29,1,3,3,True,0
S000028,Kroger,Kroger Site 76,2024-12-28,2024-12-31,2025-01-01,1,3,4,False,1
S000029,Kroger,Kroger Site 76,2024-12-27,2025-01-01,2025-01-01,1,5,5,True,0
S000030,Kroger,Kroger Site 76,2024-12-30,2025-01-01,2025-01-01,1,2,2,True,0
S000031,Kroger,Kroger Site 76,2024-12-30,2025-01-01,2025-01-01,1,2,2,True,0
S000032,Kroger,Kroger Site 8,2024-12-29,2025-01-01,2025-01-01,1,3,3,True,0
S000033,Kroger,Kroger Site 36,2025-01-01,2025-01-03,2025-01-03,1,2,2,True,0
S000034,Lex & Co,Lex & Co Site 62,2024-12-30,2025-01-03,2025-01-03,1,4,4,True,0
S000035,Lex & Co,Lex & Co Site 13,2024-12-31,2025-01-03,2025-01-03,1,3,3,True,0
S000036,Lex & Co,Lex & Co Site 62,2024-12-31,2025-01-02,2025-01-02,1,2,2,True,0
S000037,Lex & Co,Lex & Co Site 62,2025-01-01,2025-01-03,2025-01-03,1,2,2,True,0
S000038,Kroger,Kroger Site 39,2025-01-03,2025-01-06,2025-01-06,1,3,3,True,0
S000039,Kroger,Kroger Site 40,2025-01-05,2025-01-09,2025-01-10,1,4,5,False,1
S000040,Kroger,Kroger Site 51,2025-01-08,2025-01-10,2025-01-10,1,2,2,True,0
S000041,Kroger,Kroger Site 59,2025-01-09,2025-01-11,2025-01-11,1,2,2,True,0
S000042,Kroger,Kroger Site 59,2025-01-09,2025-01-11,2025-01-11,1,2,2,True,0
S000043,Kroger,Kroger Site 6,2025-01-10,2025-01-14,2025-01-14,1,4,4,True,0
S000044,Lex & Co,Lex & Co Site 8,2025-01-10,2025-01-13,2025-01-13,1,3,3,True,0
S000045,Kroger,Kroger Site 3,2025-01-13,2025-01-15,2025-01-15,1,2,2,True,0
S000046,Kroger,Kroger Site 33,2025-01-13,2025-01-15,2025-01-15,1,2,2,True,0
S000047,Kroger,Kroger Site 74,2025-01-13,2025-01-16,2025-01-17,1,3,4,False,1
S000048,Kroger,Kroger Site 57,2025-01-15,2025-01-19,2025-01-19,1,4,4,True,0
S000049,Lex & Co,Lex & Co Site 17,2025-01-15,2025-01-17,2025-01-17,1,2,2,True,0
S000050,Kroger,Kroger Site 42,2025-01-16,2025-01-20,2025-01-20,1,4,4,True,0
S000051,Kroger,Kroger Site 9,2025-01-17,2025-01-19,2025-01-19,1,2,2,True,0
S000052,Kroger,Kroger Site 17,2025-01-19,2025-01-21,2025-01-21,1,2,2,True,0
S000053,Kroger,Kroger Site 25,2025-01-21,2025-01-23,2025-01-23,1,2,2,True,0
S000054,Kroger,Kroger Site 25,2025-01-22,2025-01-26,2025-01-26,1,4,4,True,0
S000055,Kroger,Kroger Site 1,2025-01-21,2025-01-23,2025-01-23,1,2,2,True,0
S000056,Kroger,Kroger Site 53,2025-01-23,2025-01-25,2025-01-25,1,2,2,True,0
