device_id,event_date,event_type,order_id_linked,notes
KROGER-1000,2025-04-20,TONER_REPLACED,O000002,
KROGER-1001,2025-07-17,TONER_REPLACED,O000003,
KROGER-1002,2025-08-30,TONER_REPLACED,O000004,
KROGER-1003,2025-04-12,TONER_REPLACED,O000006,
KROGER-1006,2025-01-08,TONER_REPLACED,O000010,
KROGER-1006,2025-05-29,TONER_REPLACED,O000011,
KROGER-1007,2025-03-16,TONER_REPLACED,O000012,
KROGER-1009,2025-04-12,TONER_REPLACED,O000015,
KROGER-1020,2025-01-19,TONER_REPLACED,O000021,
KROGER-1020,2025-06-19,TONER_REPLACED,O000024,
KROGER-1022,2025-07-31,TONER_REPLACED,O000026,
KROGER-1029,2025-08-06,TONER_REPLACED,O000030,
KROGER-1031,2024-12-21,TONER_REPLACED,O000031,
KROGER-1031,2025-04-21,TONER_REPLACED,O000034,
KROGER-1031,2025-08-16,TONER_REPLACED,O000035,
KROGER-1034,2025-08-10,TONER_REPLACED,O000036,
KROGER-1036,2025-07-09,TONER_REPLACED,O000038,
KROGER-1039,2025-05-19,TONER_REPLACED,O000041,
KROGER-1040,2025-08-21,TONER_REPLACED,O000042,
KROGER-1043,2025-08-15,TONER_REPLACED,O000045,
KROGER-1047,2025-02-18,TONER_REPLACED,O000048,
KROGER-1047,2025-08-19,TONER_REPLACED,O000051,
KROGER-1050,2025-06-21,TONER_REPLACED,O000053,
KROGER-1054,2025-06-15,TONER_REPLACED,O000055,
KROGER-1055,2025-07-19,TONER_REPLACED,O000056,
KROGER-1059,2025-02-27,TONER_REPLACED,O000057,
KROGER-1059,2025-08-31,TONER_REPLACED,O000060,
KROGER-1064,2025-04-17,TONER_REPLACED,O000064,
KROGER-1065,2025-05-20,TONER_REPLACED,O000065,
KROGER-1067,2025-07-15,TONER_REPLACED,O000067,
KROGER-1068,2025-05-03,TONER_REPLACED,O000071,
KROGER-1070,2025-05-02,TONER_REPLACED,O000074,
KROGER-1071,2025-05-06,TONER_REPLACED,O000075,
KROGER-1072,2025-08-16,TONER_REPLACED,O000076,
KROGER-1073,2025-04-30,TONER_REPLACED,O000077,
KROGER-1075,2025-07-04,TONER_REPLACED,O000079,
KROGER-1078,2025-08-01,TONER_REPLACED,O000081,
KROGER-1082,2025-05-17,TONER_REPLACED,O000084,
KROGER-1086,2025-04-01,TONER_REPLACED,O000087,
KROGER-1087,2025-06-21,TONER_REPLACED,O000088,
KROGER-1089,2025-08-25,TONER_REPLACED,O000092,
KROGER-1091,2025-03-29,TONER_REPLACED,O000093,
KROGER-1093,2025-08-24,TONER_REPLACED,O000097,
KROGER-1094,2025-08-28,TONER_REPLACED,O000098,
KROGER-1097,2025-07-02,TONER_REPLACED,O000099,
KROGER-1098,2025-06-23,TONER_REPLACED,O000102,
KROGER-1104,2025-07-21,TONER_REPLACED,O000104,
KROGER-1106,2025-03-29,TONER_REPLACED,O000106,
KROGER-1107,2025-05-29,TONER_REPLACED,O000107,
KROGER-1109,2025-08-29,TONER_REPLACED,O000108,
KROGER-1111,2025-08-23,TONER_REPLACED,O000110,
KROGER-1112,2025-06-14,TONER_REPLACED,O000112,
KROGER-1113,2025-02-04,TONER_REPLACED,O000113,
KROGER-1113,2025-07-22,TONER_REPLACED,O000114,
KROGER-1115,2025-05-07,TONER_REPLACED,O000116,
KROGER-1118,2025-05-21,TONER_REPLACED,O000118,
KROGER-1119,2025-08-18,TONER_REPLACED,O000119,
LEX-1120,2025-05-11,TONER_REPLACED,O000120,
LEX-1121,2025-08-30,TONER_REPLACED,O000121,
LEX-1122,2025-03-28,TONER_REPLACED,O000122,
LEX-1124,2025-02-28,TONER_REPLACED,O000123,
LEX-1124,2025-08-12,TONER_REPLACED,O000124,
LEX-1125,2024-11-18,TONER_REPLACED,O000126,
LEX-1125,2025-02-05,TONER_REPLACED,O000127,
LEX-1125,2025-04-18,TONER_REPLACED,O000128,
LEX-1125,2025-07-06,TONER_REPLACED,O000129,
LEX-1128,2025-07-31,TONER_REPLACED,O000130,
LEX-1129,2025-06-21,TONER_REPLACED,O000131,
LEX-1131,2025-04-05,TONER_REPLACED,O000132,
LEX-1133,2025-03-27,TONER_REPLACED,O000133,
LEX-1135,2025-02-26,TONER_REPLACED,O000137,
LEX-1135,2025-08-19,TONER_REPLACED,O000139,
LEX-1137,2025-07-08,TONER_REPLACED,O000140,
LEX-1138,2025-05-04,TONER_REPLACED,O000142,
LEX-1140,2025-04-30,TONER_REPLACED,O000143,
LEX-1141,2025-03-19,TONER_REPLACED,O000144,
LEX-1143,2025-08-26,TONER_REPLACED,O000145,
LEX-1144,2025-04-30,TONER_REPLACED,O000146,
LEX-1145,2025-06-08,TONER_REPLACED,O000147,
LEX-1148,2025-02-27,TONER_REPLACED,O000148,
LEX-1148,2025-08-29,TONER_REPLACED,O000149,
LEX-1149,2025-07-04,TONER_REPLACED,O000150,
LEX-1150,2025-07-13,TONER_REPLACED,O000152,
LEX-1151,2025-03-12,TONER_REPLACED,O000153,
LEX-1153,2025-03-28,TONER_REPLACED,O000154,
LEX-1154,2025-07-06,TONER_REPLACED,O000155,
LEX-1156,2024-12-03,TONER_REPLACED,O000156,
LEX-1156,2025-03-11,TONER_REPLACED,O000157,
LEX-1156,2025-06-12,TONER_REPLACED,O000159,
LEX-1157,2025-03-08,TONER_REPLACED,O000160,
LEX-1159,2025-05-26,TONER_REPLACED,O000164,
TAXIFY-1161,2025-03-03,TONER_REPLACED,O000165,
TAXIFY-1161,2025-07-20,TONER_REPLACED,O000166,
TAXIFY-1162,2025-04-09,TONER_REPLACED,O000167,
TAXIFY-1164,2025-04-10,TONER_REPLACED,O000168,
TAXIFY-1165,2025-08-10,TONER_REPLACED,O000170,
TAXIFY-1166,2025-03-15,TONER_REPLACED,O000171,
TAXIFY-1167,2025-02-28,TONER_REPLACED,O000172,
TAXIFY-1167,2025-07-02,TONER_REPLACED,O000173,
TAXIFY-1172,2025-05-30,TONER_REPLACED,O000174,
TAXIFY-1173,2025-06-27,TONER_REPLACED,O000175,
TAXIFY-1174,2025-04-02,TONER_REPLACED,O000176,
TAXIFY-1175,2025-03-05,TONER_REPLACED,O000178,
TAXIFY-1175,2025-07-07,TONER_REPLACED,O000179,
TAXIFY-1176,2025-05-13,TONER_REPLACED,O000180,
TAXIFY-1177,2025-04-02,TONER_REPLACED,O000181,
TAXIFY-1178,2025-07-20,TONER_REPLACED,O000182,
TAXIFY-1179,2024-12-15,TONER_REPLACED,O000183,
TAXIFY-1179,2025-03-08,TONER_REPLACED,O000184,
TAXIFY-1179,2025-04-18,TONER_REPLACED,O000185,
TAXIFY-1179,2025-07-21,TONER_REPLACED,O000186,
TAXIFY-1180,2025-03-24,TONER_REPLACED,O000187,
TAXIFY-1183,2025-03-23,TONER_REPLACED,O000190,
TAXIFY-1184,2025-07-06,TONER_REPLACED,O000191,
TAXIFY-1185,2025-05-31,TONER_REPLACED,O000192,
TAXIFY-1186,2025-03-17,TONER_REPLACED,O000193,
TAXIFY-1190,2025-08-30,TONER_REPLACED,O000194,
TAXIFY-1191,2025-04-18,TONER_REPLACED,O000195,
TAXIFY-1192,2025-04-17,TONER_REPLACED,O000196,
TAXIFY-1195,2025-04-15,TONER_REPLACED,O000197,
TAXIFY-1197,2025-04-03,TONER_REPLACED,O000199,
TAXIFY-1198,2025-05-07,TONER_REPLACED,O000200,
KROGER-1089,2025-04-03,TONER_REPLACED,O000089,Installed from oversupply
KROGER-1054,2025-04-01,TONER_REPLACED,O000054,Installed from oversupply
KROGER-1059,2025-03-29,TONER_REPLACED,O000058,Installed from oversupply
KROGER-1084,2025-03-25,TONER_REPLACED,O000086,Installed from oversupply
KROGER-1081,2025-03-26,TONER_REPLACED,O000082,Installed from oversupply
KROGER-1104,2025-03-26,TONER_REPLACED,O000103,Installed from oversupply
KROGER-1009,2025-04-02,TONER_REPLACED,O000014,Installed from oversupply
KROGER-1025,2025-03-23,TONER_REPLACED,O000027,Installed from oversupply
KROGER-1014,2025-04-02,TONER_REPLACED,O000019,Installed from oversupply
