device_id,event_date,event_type,order_id_linked,toner_color,notes
KROGER-1000,2025-01-26,TONER_REPLACED,O0000001,BK,
KROGER-1000,2025-07-03,TONER_REPLACED,O0000002,BK,
KROGER-1001,2025-07-26,TONER_REPLACED,O0000005,BK,
KROGER-1002,2025-05-24,TONER_REPLACED,O0000006,BK,
KROGER-1003,2025-03-13,TONER_REPLACED,O0000007,BK,
KROGER-1004,2025-08-03,TONER_REPLACED,O0000010,BK,
KROGER-1005,2025-04-18,TONER_REPLACED,O0000014,BK,
KROGER-1006,2025-07-02,TONER_REPLACED,O0000016,BK,
KROGER-1008,2025-02-28,TONER_REPLACED,O0000019,BK,
KROGER-1008,2025-08-31,TONER_REPLACED,O0000021,BK,
KROGER-1009,2025-02-19,TONER_REPLACED,O0000022,BK,
KROGER-1009,2025-08-29,TONER_REPLACED,O0000029,BK,
KROGER-1010,2025-07-08,TONER_REPLACED,O0000032,BK,
KROGER-1011,2025-06-25,TONER_REPLACED,O0000036,BK,
KROGER-1012,2025-04-05,TONER_REPLACED,O0000038,BK,
KROGER-1013,2025-05-20,TONER_REPLACED,O0000041,BK,
KROGER-1014,2025-07-01,TONER_REPLACED,O0000043,BK,
KROGER-1016,2025-03-27,TONER_REPLACED,O0000046,BK,
KROGER-1017,2025-04-07,TONER_REPLACED,O0000048,BK,
KROGER-1018,2025-03-20,TONER_REPLACED,O0000049,BK,
KROGER-1020,2024-12-17,TONER_REPLACED,O0000051,BK,
KROGER-1020,2025-04-11,TONER_REPLACED,O0000054,BK,
KROGER-1020,2025-08-04,TONER_REPLACED,O0000055,BK,
KROGER-1021,2025-05-15,TONER_REPLACED,O0000056,BK,
KROGER-1022,2025-06-03,TONER_REPLACED,O0000058,BK,
KROGER-1023,2024-12-29,TONER_REPLACED,O0000059,BK,
KROGER-1023,2025-04-26,TONER_REPLACED,O0000061,BK,
KROGER-1023,2025-08-31,TONER_REPLACED,O0000065,BK,
KROGER-1024,2025-04-24,TONER_REPLACED,O0000066,BK,
KROGER-1026,2025-08-20,TONER_REPLACED,O0000069,BK,
KROGER-1028,2025-02-23,TONER_REPLACED,O0000070,BK,
KROGER-1028,2025-08-30,TONER_REPLACED,O0000072,BK,
KROGER-1029,2025-06-06,TONER_REPLACED,O0000076,BK,
KROGER-1031,2025-02-24,TONER_REPLACED,O0000077,BK,
KROGER-1031,2025-08-23,TONER_REPLACED,O0000079,BK,
KROGER-1033,2025-04-09,TONER_REPLACED,O0000084,BK,
KROGER-1035,2025-07-16,TONER_REPLACED,O0000086,BK,
KROGER-1037,2024-12-26,TONER_REPLACED,O0000091,BK,
KROGER-1037,2025-05-03,TONER_REPLACED,O0000093,BK,
KROGER-1038,2025-01-12,TONER_REPLACED,O0000097,BK,
KROGER-1038,2025-05-27,TONER_REPLACED,O0000098,BK,
KROGER-1039,2025-07-21,TONER_REPLACED,O0000099,BK,
KROGER-1040,2025-03-07,TONER_REPLACED,O0000100,BK,
KROGER-1041,2025-07-23,TONER_REPLACED,O0000101,BK,
KROGER-1042,2025-03-31,TONER_REPLACED,O0000102,BK,
KROGER-1046,2025-04-22,TONER_REPLACED,O0000104,BK,
KROGER-1047,2024-12-16,TONER_REPLACED,O0000105,BK,
KROGER-1047,2025-04-12,TONER_REPLACED,O0000106,BK,
KROGER-1047,2025-08-02,TONER_REPLACED,O0000107,BK,
KROGER-1048,2025-05-02,TONER_REPLACED,O0000111,BK,
KROGER-1049,2025-06-24,TONER_REPLACED,O0000113,BK,
KROGER-1050,2025-01-13,TONER_REPLACED,O0000114,BK,
KROGER-1050,2025-06-11,TONER_REPLACED,O0000115,BK,
KROGER-1051,2025-05-02,TONER_REPLACED,O0000116,BK,
KROGER-1052,2025-06-20,TONER_REPLACED,O0000117,BK,
KROGER-1053,2025-04-28,TONER_REPLACED,O0000118,BK,
KROGER-1054,2025-07-14,TONER_REPLACED,O0000119,BK,
KROGER-1055,2025-05-29,TONER_REPLACED,O0000121,BK,
KROGER-1057,2025-04-04,TONER_REPLACED,O0000124,BK,
KROGER-1058,2025-06-15,TONER_REPLACED,O0000128,BK,
KROGER-1059,2025-02-28,TONER_REPLACED,O0000129,BK,
KROGER-1060,2025-07-15,TONER_REPLACED,O0000133,BK,
KROGER-1062,2025-06-15,TONER_REPLACED,O0000134,BK,
KROGER-1063,2024-12-23,TONER_REPLACED,O0000135,BK,
KROGER-1063,2025-04-08,TONER_REPLACED,O0000138,BK,
KROGER-1063,2025-08-01,TONER_REPLACED,O0000139,BK,
KROGER-1064,2025-06-05,TONER_REPLACED,O0000143,BK,
KROGER-1068,2025-07-08,TONER_REPLACED,O0000144,BK,
KROGER-1070,2024-12-30,TONER_REPLACED,O0000146,BK,
KROGER-1070,2025-05-05,TONER_REPLACED,O0000149,BK,
KROGER-1071,2025-05-22,TONER_REPLACED,O0000156,BK,
KROGER-1072,2025-06-16,TONER_REPLACED,O0000157,BK,
KROGER-1073,2025-01-18,TONER_REPLACED,O0000158,BK,
KROGER-1073,2025-06-13,TONER_REPLACED,O0000159,BK,
KROGER-1074,2024-12-26,TONER_REPLACED,O0000160,BK,
KROGER-1074,2025-04-28,TONER_REPLACED,O0000163,BK,
KROGER-1074,2025-08-24,TONER_REPLACED,O0000164,BK,
KROGER-1075,2025-05-13,TONER_REPLACED,O0000165,BK,
KROGER-1076,2025-05-22,TONER_REPLACED,O0000167,BK,
KROGER-1077,2025-03-09,TONER_REPLACED,O0000168,BK,
KROGER-1078,2025-07-24,TONER_REPLACED,O0000170,BK,
KROGER-1080,2025-04-18,TONER_REPLACED,O0000172,BK,
KROGER-1081,2025-01-30,TONER_REPLACED,O0000174,BK,
KROGER-1081,2025-07-15,TONER_REPLACED,O0000175,BK,
KROGER-1082,2025-04-16,TONER_REPLACED,O0000176,BK,
KROGER-1084,2025-06-28,TONER_REPLACED,O0000181,BK,
KROGER-1085,2025-07-01,TONER_REPLACED,O0000183,BK,
KROGER-1086,2025-07-09,TONER_REPLACED,O0000184,BK,
KROGER-1087,2025-01-04,TONER_REPLACED,O0000185,BK,
KROGER-1087,2025-05-24,TONER_REPLACED,O0000187,BK,
KROGER-1088,2025-01-23,TONER_REPLACED,O0000188,BK,
KROGER-1088,2025-06-26,TONER_REPLACED,O0000192,BK,
KROGER-1089,2025-04-22,TONER_REPLACED,O0000194,BK,
KROGER-1090,2025-04-07,TONER_REPLACED,O0000197,BK,
KROGER-1091,2025-03-23,TONER_REPLACED,O0000199,BK,
KROGER-1092,2025-05-31,TONER_REPLACED,O0000200,BK,
KROGER-1093,2025-06-10,TONER_REPLACED,O0000201,BK,
KROGER-1095,2025-05-01,TONER_REPLACED,O0000206,BK,
KROGER-1096,2024-12-21,TONER_REPLACED,O0000209,BK,
KROGER-1096,2025-04-07,TONER_REPLACED,O0000212,BK,
KROGER-1096,2025-08-09,TONER_REPLACED,O0000213,BK,
KROGER-1097,2025-02-22,TONER_REPLACED,O0000214,BK,
KROGER-1098,2025-07-19,TONER_REPLACED,O0000216,BK,
KROGER-1099,2025-08-31,TONER_REPLACED,O0000217,BK,
KROGER-1101,2025-04-19,TONER_REPLACED,O0000218,BK,
KROGER-1102,2025-05-13,TONER_REPLACED,O0000219,BK,
KROGER-1104,2025-05-03,TONER_REPLACED,O0000221,BK,
KROGER-1105,2025-08-19,TONER_REPLACED,O0000222,BK,
KROGER-1106,2025-01-26,TONER_REPLACED,O0000223,BK,
KROGER-1106,2025-07-06,TONER_REPLACED,O0000225,BK,
